,f1,f2,f3,f4,f5,y
2015-01-01,0.24835707650561634,1.9795810487486318,0.1359904639689608,-0.2578961174419375,0.4296278559439836,0.5472153884809241
2015-01-02,0.25497544019569063,1.7046350181904344,0.20580039703206598,0.04611660845279935,0.4296278559439836,0.1772256070454734
2015-01-03,0.97174946434348,2.2737556186487042,0.18085642044634223,0.2513672877535796,0.3597343195152759,1.5643974453133251
2015-01-04,1.7325980613891558,1.9334729543434466,0.2528627029052351,0.18758272104712692,0.7711076937817797,2.2143293863489353
2015-01-05,1.1762556482813746,2.2617763636969173,0.015522792443345234,0.1256739912062014,0.9382290098653322,1.965514896480825
2015-01-06,1.4972761719277183,2.877802370813224,0.1144816803346357,-0.16840357418259033,0.8252404474838207,2.4649522986161836
2015-01-07,2.723419553610942,3.3259331479086365,0.15303526916554674,0.04425842774141289,0.9240401620290722,2.5248755575446435
2015-01-08,2.6351497785418796,3.0870429801461223,0.3533948973713352,0.2779761574072098,1.4388682664208368,2.3931035957261595
2015-01-09,2.332161678681072,2.9396521320000883,0.05044034671590124,0.11712273022913028,1.4064690900774892,2.0365064813505267
2015-01-10,3.1511910821852753,3.039357148494841,0.06136096804677461,0.3492895333283159,1.3119398397358606,2.7439901210540594
2015-01-11,2.958461097343243,2.62322143892577,-0.0732476719086306,0.4789349701259835,1.591594122484675,2.508163358975106
2015-01-12,3.2645143256677853,3.091975246935685,-0.6809506700285074,0.5689539968465087,1.419395293102229,2.7965273285353116
2015-01-13,3.9222266626297966,3.042562614138209,-0.816001668093099,0.16497312817470172,1.6142885374143845,2.7347635762094784
2015-01-14,3.1448387840189067,2.4666153237237887,-0.5604606487819033,0.8831722370041218,1.789423794534636,2.3003755277983733
2015-01-15,3.5353339993942106,2.2455956786834763,-0.4957412436031739,0.6308414009227263,1.471055668661354,1.9220259914966942
2015-01-16,4.408761232774982,2.214203394215933,-0.6738745513348077,0.5103637594985612,1.525362618129504,2.9840102578482974
2015-01-17,4.471121180849941,1.7187770089450507,-0.24434132476060563,0.7618236316835392,1.7687559316780457,2.416661969596841
2015-01-18,5.41753782380135,1.5173954580810711,-0.7280118939626586,1.0500464201612127,1.6716733160871233,2.4999329176965923
2015-01-19,5.08425591202936,1.8316914746333457,-0.5757618345918389,0.32209842910120423,1.9328050100087433,2.0029813858373426
2015-01-20,5.10468192785366,0.7746735681615882,-0.8452952037418923,0.5974867948864582,1.915844637477441,1.3376316043883523
2015-01-21,6.810676907385509,0.3763979922337686,-0.2042112292081304,0.1993594672135609,1.6997130614333185,3.1526280052396736
2015-01-22,6.226182386286498,-0.08129807732316986,0.055223494634902774,0.7458825508823482,2.137523991579669,2.492155558910801
2015-01-23,6.628003999830859,-0.034839122016211144,0.3188658852288158,0.8125279341663743,1.9187311934888744,1.5812323326806417
2015-01-24,6.1307445601297905,-0.6777200382035131,-0.1815404174646611,0.7634943893986622,1.9946915716833447,2.3293967105090543
2015-01-25,6.813279697024296,-1.171776505996852,0.10583545132713289,0.6720692642122841,1.6712294343745766,2.5544466604629252
2015-01-26,7.376529106720407,-0.916885406130705,-0.31401916891055154,0.4244843019869685,1.8538089472076265,2.4296825558745683
2015-01-27,6.974189485502964,-1.2010252543545334,-0.48260526012483007,0.9402579217832161,1.961271733906535,3.0476930019823345
2015-01-28,7.95895970547743,-2.0929553057258605,-0.3989617986880923,1.1875455802638863,1.7979811257430183,2.5982991988463433
2015-01-29,7.68481308279849,-2.7264168271129794,-0.528545582236761,0.8088968506590154,1.9858892137340602,1.5119945295348867
2015-01-30,8.045703248860264,-2.081453169791244,-1.0446223202480114,1.045479666036206,1.78598039280628,2.8141327412429575
2015-01-31,8.089316637634775,-2.766469435177112,-0.8303297540215686,0.6739222376359443,1.9351677795246305,2.6430482245766074
2015-02-01,9.506944835000086,-2.458510659599016,-0.963047322628426,1.1087845004427117,1.8543602302056725,3.030263111453979
2015-02-02,8.756530642651185,-3.3763901208239746,-0.9770088587589598,0.9681547551821691,2.3300771269692397,3.1438691445397864
2015-02-03,8.408564805561488,-2.560790339667242,-0.4815134989561669,0.9235267529560164,1.9273473524864806,2.241993844047338
2015-02-04,9.514339256490231,-3.1879213056520697,0.199359469286123,0.9527978980920131,2.057591262548645,3.98195033213041
2015-02-05,8.649643416898167,-2.5541145233967284,0.09960458440575083,1.0546811961756333,2.252042788994018,2.9683396371463626
2015-02-06,9.512702322162573,-2.671338728678144,0.1438873013808127,1.2380872100461089,2.0831140113974187,3.290992018065516
2015-02-07,8.567711194899923,-2.819044521260179,0.354624780477325,0.9270207336824232,2.2922448545573966,3.3108475139402795
2015-02-08,9.013671834433298,-2.469353317451748,-0.05584419219043799,1.1375306739166815,1.939021970706934,3.8404064306475547
2015-02-09,9.897238307476815,-1.9157127859243175,-0.24581112747647846,1.2357991412819054,2.281240133778737,4.2165225422912975
2015-02-10,10.27979845294924,-1.8276715893857483,-0.08083407974877675,1.051056756873983,2.6156346300724267,3.9056578604298426
2015-02-11,10.098620997364415,-1.3894690356154864,0.12342261240763047,1.6565921624049662,2.6830717628039653,4.1361201291455805
2015-02-12,10.048007470092191,-0.6493030671141727,-0.3638656256247302,1.1525701404722883,2.7876724669674715,3.8276661022168748
2015-02-13,10.038615771592827,-1.3660474213967078,-0.2446586565556942,1.214999854939193,2.8810304465760916,3.9984960878551985
2015-02-14,9.523611512103173,-0.04861750589480052,-0.4648510089790179,1.1784439444828343,2.7240197719553896,4.702808285109458
2015-02-15,9.966961301754024,-0.12759325658317172,-0.5551599033706969,1.7586126715309178,2.8691205288664716,4.298107011740612
